Date	Driver Name	Event	Act Time	Tot Plan	Unit .	Stop Type	Packages	Miles	Count
2/22/2012	pett	Inside AM	0.8216667	0.236833498			0	0	2
2/22/2012	pett	KEY-ON	0	0			0		3
2/22/2012	pett	KEY-OFF	0.5786111	1.115149021			0	25	4
2/22/2012	pett	DEL	0.01583333	0.02345	2802	D	1	0	5
2/22/2012	pett	KEY-ON	0	0			0	0	6
2/22/2012	pett	KEY-OFF	0.03305556	0.03080787			0	0	7
2/22/2012	pett	DEL	0.02194444	0.02345	2802	D	1	0	8
2/22/2012	pett	KEY-ON	0	0			0	0	9
2/22/2012	pett	KEY-OFF	0.05833333	0.057394221			0	1	10
2/22/2012	pett	DEL	0.02083333	0.02306	2804	D	1	0	11
2/22/2012	pett	KEY-ON	0	0			0	0	12
2/22/2012	pett	KEY-OFF	0.04444445	0.039403319			0	1	13
2/22/2012	pett	DEL	0.02611111	0.02306	2804	D	1	0	14
2/22/2012	pett	KEY-ON	0	0			0	0	15
2/22/2012	pett	KEY-OFF	0.02972222	0.021412419			0	0	16
2/22/2012	pett	DEL	0.007777778	0.02306	2804	D	1	0	17
2/22/2012	pett	KEY-ON	0	0			0	0	18
2/22/2012	pett	KEY-OFF	0.01083333	0.009418484			0	0	19
2/22/2012	pett	DEL	0.03916667	0.043539999	2804	D	5	0	20
2/22/2012	pett	KEY-ON	0	0			0	0	21
2/22/2012	pett	KEY-OFF	0.02083333	0.01541545			0	0	22
2/22/2012	pett	DEL	0.008611111	0.02306	2804	D	1	0	23
2/22/2012	pett	KEY-ON	0	0			0	0	24
2/22/2012	pett	KEY-OFF	0.03027778	0.0222109			0	0	25
2/22/2012	pett	DEL	0.04638889	0.0627	2804	S	4	0	26
2/22/2012	pett	KEY-ON	0	0			0	0	27
2/22/2012	pett	KEY-OFF	0.07111111	0.069788158			0	2	28
2/22/2012	pett	DEL	0.01361111	0.02345	2802	D	1	0	29
2/22/2012	pett	KEY-ON	0	0			0	0	30
2/22/2012	pett	KEY-OFF	0.08333334	0.063389666			0	2	31
2/22/2012	pett	DEL	0.02277778	0.02768	2801	S	1	0	32
2/22/2012	pett	KEY-ON	0	0			0	0	33
2/22/2012	pett	KEY-OFF	0.009444444	0.006418484			0	0	34
2/22/2012	pett	DEL	0.01472222	0.02768	2801	S	1	0	35
2/22/2012	pett	KEY-ON	0	0			0	0	36
2/22/2012	pett	KEY-OFF	0.02111111	0.01241545			0	0	37
2/22/2012	pett	DEL	0.01694444	0.02768	2801	S	1	0	38
2/22/2012	pett	KEY-ON	0	0			0	0	39
2/22/2012	pett	KEY-OFF	0.01444444	0.006418484			0	0	40
2/22/2012	pett	DEL	0.02083333	0.02768	2801	S	1	0	41
2/22/2012	pett	KEY-ON	0	0			0	0	42
2/22/2012	pett	KEY-OFF	0.01138889	0.006418484			0	0	43
2/22/2012	pett	DEL	0.02055556	0.02768	2801	S	1	0	44
2/22/2012	pett	KEY-ON	0	0			0	0	45
2/22/2012	pett	KEY-OFF	0.01166667	0.009416968			0	0	46
2/22/2012	pett	DEL	0.01861111	0.02768	2801	S	1	0	47
2/22/2012	pett	KEY-ON	0	0			0	0	48
2/22/2012	pett	KEY-OFF	0.08111111	0.082520567			0	2	49
2/22/2012	pett	DEL	0.01083333	0.02348	2703	D	1	0	50
2/22/2012	pett	KEY-ON	0	0			0	0	51
